Term,Alias1,Alias2,Alias3,Example1,Example2,Example3,Example4,Example5,Example6,Example7,Example8,Example9,Example10,Example11,Example12,Example13,Example14,Example15,Example16,Example17,Example18,Example19,Example20
share,,,,"I've had my fair <span class=""AS"">share</span> of modern Japanese and this spot delivers.","Chow fun was dry; pork shu mai was more than usually greasy and had to <span class=""AS"">share</span> a table with loud and rude family.","I had to <span class=""AS"">share</span> my table with a loud group of kids and the service was rude an unattentive.","In fact, two people could really <span class=""AS"">share</span> one plate.","Growing up in NY, I have eaten my <span class=""AS"">share</span> of bagels.","I keep my fingers crossed the whole subway ride hoping that there will be a table I can sit at by myself and not have to <span class=""AS"">share</span> with the rice congee soup people.","Growing up in NY, I have eaten my <span class=""AS"">share</span> of bagels."
quality food,,,,"Over the years, it has always provided a pleasurable dining experience with <span class=""AS"">quality food</span> and wine."
weather,,,,"If the <span class=""AS"">weather</span> is nice, try to snag an outside table.","Delivery can be spot on or lacking depending on the <span class=""AS"">weather</span> and the day of the week."
food joints,food joint,,,"An excellent alternative to fast <span class=""AS"">food joints</span> and ordering in","I will have to say, this Bengali Fast <span class=""AS"">Food joint</span> is clearly my favorite."
ad,,,,"We never ate because by close to 2 in the monring we were not served and were too upset <span class=""AS"">ad</span> tired to start eating."
seat,,,,"It was rather pathetic that it took them over an hour to <span class=""AS"">seat</span> us.","This guy refused to <span class=""AS"">seat</span> her and she left, followed shortly by the four of us, but not before I told him that in my 40 years of world travel, including Paris, that I had never seen such a display of bad behavior by a frontman in a restaurant.","Just don't take the <span class=""AS"">seat</span> between the bar and the back half of the restaurant, i saw a woman get nudged 40times sitting there.","When I got there the place was packed but they made sure to <span class=""AS"">seat</span> me quickly.","You rarely have to wait for a <span class=""AS"">seat</span> and the currys (masaman, green, red) are full of flavor and come super spicy if you ask for it."
suan,,,,"I was in love with Pongsri on 48th, but compared to <span class=""AS"">Suan</span> it is slow in service and overpriced.","I will go back to <span class=""AS"">Suan</span> soon!","I will go back to <span class=""AS"">Suan</span> soon!","I recently tried <span class=""AS"">Suan</span> and I thought that it was great.","Its location is good and the fact that Hutner College is near and their prices are very reasonable, makes students go back to <span class=""AS"">Suan</span> again and again."
employees,employee,,,"There are a few Italian <span class=""AS"">employees</span> who may not speak the best English but for me that adds to the experience.","The owners and <span class=""AS"">employees</span> are friendly and their pizza is fantastic.","As we were sitting eating the subpar food the manager proceeded to berate a couple of his <span class=""AS"">employees</span> for putting out the wrong containers for condiments and explained to them how expensive these containers were."
scores,score,,,"The establishment <span class=""AS"">scores</span> big points in presentation and style.","It was nice and fresh, but I can't give it high <span class=""AS"">scores</span> on being authentic thai."
saturday night,,,,"Finally, after all the raving I went to check it out with one of my enthusiastic friends this last <span class=""AS"">Saturday night</span> and let me tell you its all its cracked up to be.","I wasn't there for the Half-Price <span class=""AS"">Saturday Night</span> Special, but Tuesday Night.","we came here on a crowded <span class=""AS"">saturday night</span> and were seated right away despite being 15 minutes late for our reservation.","We were fans of the half-price <span class=""AS"">Saturday night</span> option until some inedible squid during a recent visit."
wait staff,,,,"The <span class=""AS"">wait staff</span> was very attentive and polite.","The <span class=""AS"">wait staff</span> is pleasant, fun, and for the most part gorgeous (in the wonderful aesthetic beautification way, not in that she's-way-cuter-than-me-that","The <span class=""AS"">wait staff</span> is friendly, and the food has gotten better and better!","Cute place, nice <span class=""AS"">wait staff</span> but would never go there again.","not the food ,not the ambiance , not the service, I agree with the previous reviews you wait and wait , the <span class=""AS"">wait staff</span> are very rude and when you get in they are looking to get you right out .","The <span class=""AS"">wait staff</span> is very freindly, they make it feel like you're eating in a freindly little european town.","The <span class=""AS"">wait staff</span> is very courteous and accomodating.","the <span class=""AS"">wait staff</span> is very friendly, if your not rude or picky.......","Cute place, nice <span class=""AS"">wait staff</span> but would never go there again.","The <span class=""AS"">wait staff</span> was loud and inconsiderate."
feeling,,,,"My daughter and I left <span class=""AS"">feeling</span> satisfied (not stuffed) and it felt good to know we had a healthy lunch.","You order from a menu, so you leave <span class=""AS"">feeling</span> like you missed the full experience.","Go there on an empty stomach and leave <span class=""AS"">feeling</span> like a baby Veal Calf(ok bad joke), but you will see.","Here you get the zen feel without <span class=""AS"">feeling</span> rigid.","You don't go to Mizu for excellent service, you go for the large amounts of food, the amiable atmosphere, and the hole-in-the-wall <span class=""AS"">feeling</span> of the place.","The decoration was <span class=""AS"">feeling</span> like we was on the Cairo, actually the street is part of that adventure.","The service leaves much to be desired, from <span class=""AS"">feeling</span> like you are rushed the place your order, to being ignored the rest of the night.","While most people can attest to spending over $50 on drinks in New York bars and hardly <span class=""AS"">feeling</span> a thing, the drinks here are plentiful and unique.","Never once did I leave <span class=""AS"">feeling</span> unwelcome or impressed.","And you never get the <span class=""AS"">feeling</span> that you need to leave.","Alias is warm and cozy and you don't get that squished-in <span class=""AS"">feeling</span> you get at 71 Clinton.","When I'm <span class=""AS"">feeling</span> stressed by the noise and congestion around my office, I head for Cafe St. Bart's.","Get the <span class=""AS"">feeling</span> they settled into a groove a while ago.","We always have a delicious meal and always leave <span class=""AS"">feeling</span> satisfied.","I have never left a restaurant <span class=""AS"">feeling</span> as if i was abused, and wasted my hard earned money.","When I'm <span class=""AS"">feeling</span> stressed by the noise and congestion around my office, I head for Cafe St. Bart's.","While it's not Nobu, it sure is a great deal and you definitely will leave <span class=""AS"">feeling</span> satisfied and full."
